ReqComments,ID,Title,HP Surgeon,Date of HP Surgery,PI,LabTracks Requestor,Procedure,Surgery Status,Project ID,IACUC Protocol,DateRangeStart,DateRangeEnd,Light Cycle,LIMs Required,Lims Project Code,LIMStaskflow,LabTracks Group,MID,Pedigree Name,Cage,Sex,Date of Birth,HP Work Station,HP Weight before,HP Weight after,HP Iso Duration,HP Recovery,HP Iso Level,Headpost Type,HP Location,Bregma to Lambda,HP Perferations,HP M/L,HP A/P,HP Diameter,HP Durotomy,Previously Injected,1st Round Inj Surgeon,Date 1st Round Injections,1st Round Inj Workstation,1st Round Inj Weight Before,1st Round Inj Weight After,1st Round Inj Iso Duration,1st Round Inj Iso Level,1st Inj Recovery,2nd Round Inj Surgeon,Date 2nd Round Injections,2nd Round Workstation,2nd Round Inj Weight Before,2nd Round Inj Weight After,2nd Round Inj Iso Duration,2nd Round Inj Iso Level,2nd Inj REcovery,Inj1Round,Inj1VirusStrain,Inj1StorageLocation,Inj 1 Hemisphere,Inj 1 A/P,Inj 1 M/L,Inj 1 D/V,Inj1Type,Inj1Vol,Inj1LenghtofTime,Inj1Current,Inj1AlternatingTime,Inj2Round,Inj2VirusStrain,Inj2StorageLocation,Inj 2 Hemisphere,Inj 2 A/P,Inj 2 M/L,Inj 2 D/V,Inj2Type,Inj2Vol,Inj2LenghtofTime,Inj2Current,Inj2AlternatingTime,Durotomy,Edema (Swelling),Sinus Bleed,Window Clarity,Contusion,Hematoma,Laceration,During 1st Injection,After 1st Injection,1stRoundIontoIssue,During 2nd Injection,After 2nd Injection,2nd Round Ionto Issue,Touch Up Surgeon,Touch Up Status,Touch Up  Completed,Touch Up Weight After,Issue,Exudate Severity,Eye Affected,Eye Issue,Scabbing,CAM  Health Check Surgeon,CAM Go-NoGo Comments,CAM Go-NoGO ISI,CAM Health Check (7d post op),CAM Health Comments,Wellness Comments,inj1volperdepth,Inj1Volperpress,Inj1VirusStrain_rt,Inj2VirusStrain_rt,1stRoundInjComments,1stRoundInjectionComments,2ndRoundInjComments,2ndRoungInjectionComments,HP Surgeon Comments,HPSurgeonComments,Item Type,Path
"23 deg roll, 0 deg pitch",1652,489138HP+C Neuropixel style,Emily Gelfand,10/1/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,9/30/2019,10/4/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,489138,Sst-IRES-Cre;Ai32-489138,02-004-92-1805,Male,8/4/2019,SWS 4,24.9,28.1,1.3,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Other (In comments),None,None,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/8/2019,,,,,,,,,,,,"​pia dmg around 1 o'clock. Window placement was posterior from central, but sinus was even further posterior than expected, so there was none in the window.",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1663,492651HP+C Neuropixel style,Emily Gelfand,10/10/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/7/2019,10/11/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J,492651,C57BL/6J-492651,02-004-96-1805,Male,8/24/2019,SWS 4,23,26,1.25,20,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.192,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Mild,Central,None,Mild,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/17/2019,,,,,,,,,,,,"​Pia damage/blood under window at 1 o'clock.
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1666,492650HP+C Neuropixel style,Andy Cho,10/7/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/7/2019,10/11/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J,492650,C57BL/6J-492650,02-004-94-1805,Male,8/24/2019,SWS 6,22.1,25.2,1,7,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.72,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,Moderate,Central,None,None,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/14/2019,,,,,,,,,,,,"​Mild lac at 12 o clock portion likely from drilling. Moderate sinus bleed while drilling, otherwise sx went well. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​Custom head post and well (same as last week). No craniotomy.
",1680,490194Custom,Kat North,10/8/2019,Sam Gale,Sam Gale,Custom,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/7/2019,10/11/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J (VB),490194,C57BL6J (VB),02-004-95-1805,Male,8/11/2019,SWS 1,26.3,28.5,1.5,5,1.5,Select...,Center,4.265,Select if applicable...,,,5mm,Select...,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/15/2019,,,,,,,,,,,,"​HP went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1693,491258HP+C Neuropixel style,Robert Howard,10/16/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/14/2019,10/18/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J(VB),491258,C57BL/6J(VB)-491258,02-004-98-1805,Female,8/16/2019,SWS 7,21.3,23.9,1.5,5,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.665,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,Mild,Posterior,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/23/2019,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1694,491252HP+C Neuropixel style,Chelsea Nayan,10/17/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/14/2019,10/18/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J(VB),491252,C57BL/6J(VB)-491252,02-004-99-1805,Male,8/16/2019,SWS 4,27.3,30.3,2,5,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.704,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Anterior,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/24/2019,,,,,,,,,,,,"​Dura at 2-7 o'clock due to vessel attachments and sinus. There are mild clots at 2 and 10 o'clock both due to vessels attached to the dura. I did not expect the 10 o'clock one and the 2 o'clock one was more towards the middle than expected. They shooooooould clear up.  Window placement might be a but more anterior due having to move it a bit up to accommodate the 2mm edge as I don't think I buffed the metabond around enough. Recovery was swift. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​lateral window prep for lateral visual areas
",1732,490195HP+C Neuropixel style,Kat North,10/15/2019,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/14/2019,10/18/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J (VB),490195,C57BL6J (VB),02-004-97-1805,Female,8/11/2019,SWS 1,21,23.9,2.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.433,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Anterior,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/22/2019,,,,,,,,,,,,"​Surgery went well

Should have been more posterior

Roll: 7.4 degrees x: -.156​ y: -.148

",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1758,495658HP+C Neuropixel style,Emily Gelfand,10/24/2019,Josh Siegle,Severine,HP+C Neuropixel style,Unplanned Acute,102-02-004-10: BTV Observatory Visual Behavior,1805,10/21/2019,10/25/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,495658,Sst-IRES-Cre;Ai32-495658,02-004-102-1805,Male,9/11/2019,SWS 4,21.4,24.6,1.25,45,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.713,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Severe,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/31/2019,,,,,,,,,,,,"​Bad sinus bleed, left some dura near the area (did a hail mary). recovered and then un-recovered? Had to put on oxygen.",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1759,495662HP+C Neuropixel style,Chelsea Nayan,10/22/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/21/2019,10/25/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,495662,Sst-IRES-Cre;Ai32-495662,02-004-101-1805,Female,9/11/2019,SWS 4,17.4,20.1,2,5,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.562,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/29/2019,,,,,,,,,,,,"​Some dura from 2-7 o'clock due to vessel attachments. Recovery was swift. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1760,495800HP+C Neuropixel style,Andy Cho,10/28/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/28/2019,11/1/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,495800,Vip-IRES-Cre;Ai32-495800,02-004-102-1805,Female,9/12/2019,Select...,19.7,22.5,1,15,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.566,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/4/2019,,,,,,,,,,,,"​Sx went very well.
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1761,495801HP+C Neuropixel style,Robert Howard,10/30/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/28/2019,11/1/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,495801,Vip-IRES-Cre;Ai32-495801,02-004-103-1805,Female,9/14/2019,SWS 7,19.3,22.1,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,Mild,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/6/2019,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​Custom headpost. No craniotomy. Cover skull with clear metabond and kwikcast.
",1763,491253Custom,Kat North,10/21/2019,Sam Gale,Sam Gale,Custom,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,10/21/2019,10/25/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J (VB),491253,C57BL6J (VB),02-004-100-1805,Male,8/16/2019,SWS 1,26.3,28.6,1.5,10,1.5,Select...,Select...,4.481,Select if applicable...,,,5mm,Select...,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,10/28/2019,,,,,,,,,,,,"​HP went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1795,498757HP+C Neuropixel style,Jackie Swapp,11/7/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/4/2019,11/8/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J (VB),498757,C57BL/6J (VB)-498757,02-004-106-1805,Female,9/11/2019,SWS 1,20.6,23.7,1.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.145,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/14/2019,,,,,,,,,,,,"​Had a vessel bleed at 9 that continued to bleed in a hematoma, covering most of the left half",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1796,498756HP+C Neuropixel style,Robert Howard,11/5/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/4/2019,11/8/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J (VB),498756,C57BL/6J (VB)-498756,02-004-105-1805,Female,9/11/2019,SWS 7,19.2,22.2,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.447,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/12/2019,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​lateral window
",1797,498758HP+C Neuropixel style,Kat North,11/5/2019,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/4/2019,11/8/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J (VB),498758,C57BL6J,02-004-104-1805,Female,9/11/2019,SWS 1,19.5,21.2,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.51,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/12/2019,,,,,,,,,,,,"​Surgery went well, animal was small so I was unable to rotate as far laterally as I would have liked. Animal was angled at 5 degrees, posterior .2 and lateral .3, couldnt go more lateral because the headframe was hitting the ear bar.
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1818,497266HP+C Neuropixel style,Kat North,11/13/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/11/2019,11/15/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,497266,Sst-IRES-Cre;Ai32-497266,02-004-108-1805,Female,9/15/2019,SWS 1,18.6,21.2,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.299,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/20/2019,,,,,,,,,,,,"​Dura attachment over large vessel 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1819,497273HP+C Neuropixel style,Robert Howard,11/11/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/11/2019,11/15/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,497273,Sst-IRES-Cre;Ai32-497273,02-004-107-1805,Female,9/15/2019,Select...,18,20.6,2,5,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.389,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/18/2019,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1841,496638HP+C Neuropixel style,Chelsea Nayan,11/19/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/18/2019,11/22/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,496638,Vip-IRES-Cre;Ai32-496638,02-004-109-1805,Male,9/18/2019,SWS 4,21,24.6,2,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.9,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,Mild,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/26/2019,,,,,,,,,,,,"​Dura from 4- 7o'clock due to the sinus. 12-1 o'clock has a mild hematoma that should clear with disrupted vessels. May have a mild contusion in that area also. During the craniotomy there was hard-to-stop slow bleeding at 12 o'clock. Recovery took longer than expected. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1842,496639HP+C Neuropixel style,Andy Cho,11/20/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/18/2019,11/22/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,496639,Vip-IRES-Cre;Ai32-496639,02-004-110-1805,Female,9/18/2019,SWS 6,21.2,23.6,1.25,12,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.552,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,11/27/2019,,,,,,,,,,,,"​No visible lac, but large hematoma formed at the perimeter of the 1-2 o clock border. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​23 deg roll, 0 deg pitch
",1868,498803HP+C Neuropixel style,Emily Gelfand,11/25/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,11/25/2019,11/29/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,498803,Sst-IRES-Cre;Ai32-498803,02-004-111-1805,Female,10/3/2019,SWS 4,16.7,19.2,1.5,15,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.119,NA,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,Severe,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,12/2/2019,,,,,,,,,,,,​all new scissors + gel foam. Hail maryd because whole lower sinus and part of right sinus were in craniotomy.,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​Lateral window for lateral visual areas (POR, LI, etc)
",1889,498169HP+C Neuropixel style,Kat North,12/10/2019,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,12/2/2019,12/6/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J(VB),498169,C57BL6J,02-004-113-1805,Male,9/28/2019,SWS 1,24.5,27.5,2.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.414,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,12/17/2019,,,,,,,,,,,,"​Surgery went well

7 degree roll 

y​: -0.231
x: -0.537

",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1890,500428HP+C Neuropixel style,Conor Grasso,12/5/2019,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,12/2/2019,12/6/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57BL/6J(VB),500428,C57BL/6J(VB)-500428,02-004-114-1805,Female,10/15/2019,SWS 5,19,21.7,2,20,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.249,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Severe,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,12/12/2019,,,,,,,,,,,,"Some bleeding occurred during the durotomy, in this case a large blood clot formed from the innervated dura that was the source of the bleed. When lowering the cover slip, this clot (had the appearence of a blood blister of sorts) was compressed and most of the blood trapped in it was squeezed out but there is a large hematoma like spot on the brain. Although i expect this to clear (it is surface level blood), I listed the hematoma as severe due to the size of the spot. I am concerned there is could be some cortex damage just lateral of the center of the window (where the source of the bleed is) but i cannot be sure from the blood in the way, so laceration is listed as mild. ​",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
